owner,repo,full_name,stargazers_count,subscribers_count,open_issues_count,forks_count,fork,html_url_repo,watchers_count,commit_id,commit_message,badge
gadenbuie,actionTest,gadenbuie/actionTest,0,2,1,0,FALSE,https://github.com/gadenbuie/actionTest,0,NA,NA,NA
gadenbuie,alix,gadenbuie/alix,2,2,0,0,FALSE,https://github.com/gadenbuie/alix,2,NA,NA,NA
gadenbuie,applause,gadenbuie/applause,14,2,2,1,FALSE,https://github.com/gadenbuie/applause,14,NA,NA,NA
gadenbuie,aws-p2-setup,gadenbuie/aws-p2-setup,1,2,0,0,FALSE,https://github.com/gadenbuie/aws-p2-setup,1,NA,NA,NA
gadenbuie,boostrap-v3-theme-minty,gadenbuie/boostrap-v3-theme-minty,0,2,1,1,FALSE,https://github.com/gadenbuie/boostrap-v3-theme-minty,0,NA,NA,NA
gadenbuie,branchMover,gadenbuie/branchMover,8,2,1,2,FALSE,https://github.com/gadenbuie/branchMover,8,NA,NA,NA
gadenbuie,cleanrmd,gadenbuie/cleanrmd,118,5,13,4,FALSE,https://github.com/gadenbuie/cleanrmd,118,e7657526ef8a333f210dcc1f62932b9f296073df,docs: Fix <meta> links to pkg docs,[![](https://github.com/gadenbuie/cleanrmd/workflows/Package%20Maintenance/badge.svg)](https://github.com/gadenbuie/cleanrmd/actions/runs/2496648519) [![](https://github.com/gadenbuie/cleanrmd/workflows/R-CMD-check/badge.svg)](https://github.com/gadenbuie/cleanrmd/actions/runs/2496648483)
gadenbuie,countdown,gadenbuie/countdown,129,6,9,11,FALSE,https://github.com/gadenbuie/countdown,129,ed61a5a97ea596ad1538baeca1887a8c8a8300be,docs: Update readme install instructions,[![](https://github.com/gadenbuie/countdown/workflows/R-CMD-check/badge.svg)](https://github.com/gadenbuie/countdown/actions/runs/2894811247)
gadenbuie,covid19-florida,gadenbuie/covid19-florida,32,8,8,10,FALSE,https://github.com/gadenbuie/covid19-florida,32,NA,NA,NA
gadenbuie,covid19-florida-ahca,gadenbuie/covid19-florida-ahca,0,2,0,0,FALSE,https://github.com/gadenbuie/covid19-florida-ahca,0,NA,NA,NA
gadenbuie,covid19-florida-cases-by-day,gadenbuie/covid19-florida-cases-by-day,0,2,0,0,FALSE,https://github.com/gadenbuie/covid19-florida-cases-by-day,0,NA,NA,NA
gadenbuie,crantrack,gadenbuie/crantrack,3,2,0,1,FALSE,https://github.com/gadenbuie/crantrack,3,NA,NA,NA
gadenbuie,de-iris-my-repos,gadenbuie/de-iris-my-repos,12,2,0,0,FALSE,https://github.com/gadenbuie/de-iris-my-repos,12,NA,NA,NA
gadenbuie,docker-rstudio-keras,gadenbuie/docker-rstudio-keras,4,2,0,1,FALSE,https://github.com/gadenbuie/docker-rstudio-keras,4,NA,NA,NA
gadenbuie,docker-shinycannon,gadenbuie/docker-shinycannon,1,2,0,0,FALSE,https://github.com/gadenbuie/docker-shinycannon,1,NA,NA,NA
gadenbuie,docker-snowplowr,gadenbuie/docker-snowplowr,0,2,0,0,FALSE,https://github.com/gadenbuie/docker-snowplowr,0,NA,NA,NA
gadenbuie,DragDrop,gadenbuie/DragDrop,0,1,0,0,FALSE,https://github.com/gadenbuie/DragDrop,0,NA,NA,NA
gadenbuie,drake-intro,gadenbuie/drake-intro,14,3,1,5,FALSE,https://github.com/gadenbuie/drake-intro,14,NA,NA,NA
gadenbuie,drake-rstudio-jobs-example,gadenbuie/drake-rstudio-jobs-example,5,2,0,0,FALSE,https://github.com/gadenbuie/drake-rstudio-jobs-example,5,NA,NA,NA
